CaseID$;YEAR;COWCODE;ARDACODE;ISO3;NUMISO;COUNTRY;CHRSPROT;CHRSCAT;CHRSORTH;CHRSANG;CHRSOTHR;CHRSGEN;JUDORTH;JDCONS;JUDREF;JUDOTHR;JUDGEN;ISLMSUN;ISLMSHI;ISLMIBD;ISLMNAT;ISLMALW;ISLMAHM;ISLMOTHR;ISLMGEN;BUDMAH;BUDTHR;BUDOTHR;BUDGEN;ZOROGEN;HINDGEN;SIKHGEN;SHNTGEN;BAHGEN;TAOGEN;JAINGEN;CONFGEN;SYNCGEN;ANMGEN;NONRELIG;OTHRGEN;SUMRELIG;POP;CHPRTPCT;CHCATPCT;CHORTPCT;CHANGPCT;CHOTHPCT;CHGENPCT;JDORPCT;JDCNPCT;JDRFPCT;JDOTPCT;JDGENPCT;ISSUNPCT;ISSHIPCT;ISIBDPCT;ISNATPCT;ISALAPCT;ISAHMPCT;ISLOTPCT;ISGENPCT;BUMAHPCT;BUTHRPCT;BUOTHPCT;BUGENPCT;ZOGENPCT;HIGENPCT;SIGENPCT;SHGENPCT;BAGENPCT;TAGENPCT;JAGENPCT;COGENPCT;SYGENPCT;ANGENPCT;NORELPCT;OTGENPCT;SUMPCT;TOTAL;DUALREL;DATATYPE;SRELIAB;RRELIAB;RELIAB;SOURCECD;VERSION
1;1945;2;234;USA;840;United States of America;66069671;38716742;1121898;2400000;1956807;110265118;821489;1364508;1902885;552300;4641182;0;0;0;0;0;0;0;0;0;0;1601218;1601218;0;0;0;0;0;0;0;0;0;0;22874544;545938;139382062;139928000;04722;02767;0008;00172;0014;0788;00059;00098;00136;00039;00332;0;0;0;0;0;0;0;0;0;0;00114;00114;0;0;0;0;0;0;0;0;0;0;01635;00039;09961;1;0;34;2;10;2;13;11
2;1950;2;234;USA;840;United States of America;73090083;42635882;3045420;3045420;1177214;122994019;1078078;1790706;2497244;724809;6090837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22568130;618022;151652986;152271008;048;028;002;002;00077;08077;00071;00118;00164;00048;004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01482;00041;09959;1;0;34;6;28;1;18;11
3;1955;2;234;USA;840;United States of America;79294628;46402368;3454916;2572767;2277091;134001770;944000;1568000;2186666;634666;5333332;0;0;0;0;0;0;0;0;0;0;90173;90173;0;0;0;0;0;0;0;0;0;0;23303540;3202185;162728815;165931000;04779;02796;00208;00155;00137;08076;00057;00094;00132;00038;00321;0;0;0;0;0;0;0;0;0;0;00005;00005;0;0;0;0;0;0;0;0;0;0;01404;00193;09807;1;0;134;5;10;2;15;11
4;1960;2;234;USA;840;United States of America;90692928;50587880;3334535;2710065;2908939;150234347;973500;1617000;2255000;654500;5500000;0;0;0;0;0;0;0;0;0;0;2012131;2012131;0;0;0;0;0;0;0;0;0;0;21548225;1376297;179294703;180671000;0502;028;00185;0015;00161;08315;00054;00089;00125;00036;00304;0;0;0;0;0;0;0;0;0;0;00111;00111;0;0;0;0;0;0;0;0;0;0;01193;00076;09924;1;0;134;2;10;2;13;11
5;1965;2;234;USA;840;United States of America;94165803;64761783;4792868;2822149;973155;167515758;991200;1646400;2296000;666400;5600000;0;0;0;0;0;0;0;0;0;0;1080892;1080892;0;0;0;0;0;0;0;0;0;0;19852362;581988;194049012;194631000;04838;03327;00246;00145;0005;08607;00051;00085;00118;00034;00288;0;0;0;0;0;0;0;0;0;0;00056;00056;0;0;0;0;0;0;0;0;0;0;0102;0003;0997;1;0;134;8;28;1;20;11
6;1970;2;234;USA;840;United States of America;93918347;69119143;5498914;3030647;1300000;172867051;1088550;1808100;2521500;731850;6150000;0;0;0;0;0;0;0;0;0;0;1113861;1113861;0;0;0;0;90247;0;0;0;0;0;20474592;10249;200695751;200706000;04679;03444;00274;00151;00065;08613;00054;0009;00126;00036;00306;0;0;0;0;0;0;0;0;0;0;00055;00055;0;0;0;0;00004;0;0;0;0;0;0102;00001;09999;1;0;134;4;10;2;7;11
7;1975;2;234;USA;840;United States of America;93578909;77181399;6651649;3239145;2159430;182810532;1185900;1969800;2747000;797300;6700000;0;0;0;0;0;0;0;0;0;0;1019556;1019556;0;159778;1597;0;220494;0;0;0;0;0;24789671;241372;215701628;215943000;04334;03574;00308;0015;001;08466;00055;00091;00127;00037;0031;0;0;0;0;0;0;0;0;0;0;00047;00047;0;00007;0;0;0001;0;0;0;0;0;01148;00011;09989;1;0;99;99;35;1;99;11
8;1980;2;234;USA;840;United States of America;101216516;75149580;4677202;3576566;2030000;186649864;1284843;2134146;2976190;863821;7259000;2407464;254121;0;0;0;4975;0;2666560;0;0;1357967;1357967;0;995149;0;0;0;89563;0;0;0;59708;26813635;1834554;225891446;227726000;04445;033;00205;00157;00089;08196;00056;00094;00131;00038;00319;00106;00011;0;0;0;0;0;00117;0;0;0006;0006;0;00044;0;0;0;00004;0;0;0;00003;01177;00081;09919;1;0;24;4;5;2;7;11
9;1985;2;234;USA;840;United States of America;107309700;82463100;5245662;3576990;1192330;199787782;1352280;2146160;3132400;879160;7510000;2186675;298183;0;0;0;0;0;2484858;0;0;1984325;1984325;0;1005000;0;0;0;0;0;0;0;0;25396899;297136;238168864;238466000;045;03458;0022;0015;0005;08378;00057;0009;00131;00037;00315;00092;00013;0;0;0;0;0;00104;0;0;00083;00083;0;00042;0;0;0;0;0;0;0;0;01065;00012;09988;1;0;34;2;10;2;13;11
10;1990;2;234;USA;840;United States of America;132040181;65530789;6715078;4334627;5804487;214425162;975005;1619500;2258487;655512;5508504;2019386;275371;0;0;0;0;0;2294757;0;0;1575481;1575481;52301;323352;18517;59724;887961;100408;6410;0;0;78345;24413914;162164;249744836;249907000;05284;02622;00269;00173;00232;0858;00039;00065;0009;00026;0022;00081;00011;0;0;0;0;0;00092;0;0;00063;00063;00002;00013;00001;00002;00036;00004;0;0;0;00003;00977;00006;09994;1;0;24;4;7;3;25;11
11;1995;2;234;USA;840;United States of America;123669458;70308695;6639161;4476661;10500000;215593975;930925;1546282;2156380;625876;5259463;2134332;291045;0;0;0;0;0;2425377;0;0;1608346;1608346;758150;574269;47402;57972;672364;55771;6684;39248;270915;219079;34475517;690468;262064532;262755000;04707;02676;00253;0017;004;08205;00035;00059;00082;00024;002;00081;00011;0;0;0;0;0;00092;0;0;00061;00061;00029;00022;00002;00002;00026;00002;0;00001;0001;00008;01312;00026;09974;1;0;34;99;35;1;99;11
12;2000;2;234;USA;840;United States of America;115298736;75086601;6563244;4618694;18251030;219818305;886845;1473065;2054274;596240;5010424;2249277;306720;0;0;0;0;0;2555997;808358;0;1641211;2449569;1464000;825186;76286;56220;456767;11134;6959;78497;541831;359813;44537120;108892;278248108;278357000;04142;02697;00236;00166;00656;07897;00032;00053;00074;00021;0018;00081;00011;0;0;0;0;0;00092;00029;0;00059;00088;00053;0003;00003;00002;00016;0;0;00003;00019;00013;016;00004;09996;1;0;24;4;7;3;25;11
13;2005;2;234;USA;840;United States of America;117527349;76742245;6800059;4733159;20661993;226464805;979982;1627767;2270015;658858;5536622;2363129;322245;0;0;0;0;0;2685374;858297;0;2824397;3682694;1554443;1311442;269862;60560;456767;11134;79459;86656;672506;1066695;51781800;175181;295720819;295896000;03972;02594;0023;0016;00698;07654;00033;00055;00077;00022;00187;0008;00011;0;0;0;0;0;00091;00029;0;00095;00124;00053;00044;00009;00002;00015;0;00003;00003;00023;00036;0175;00006;09994;1;0;34;99;35;1;99;11
14;2010;2;234;USA;840;United States of America;119755961;78397889;7036875;4847625;23072957;233111307;1051778;1747021;2436322;707127;5942248;2476980;337770;0;0;0;0;0;2814750;908236;0;2502000;3410236;1644887;1797698;406908;156375;482784;11768;83984;91591;803181;1773577;59422500;796206;311953794;312750000;03829;02507;00225;00155;00738;07454;00034;00056;00078;00023;0019;00079;00011;0;0;0;0;0;0009;00029;0;0008;00109;00053;00057;00013;00005;00015;0;00003;00003;00026;00057;019;00025;09975;1;0;24;4;7;3;25;11
15;1945;20;41;CAN;124;Canada;4002534;5038280;241370;1137777;112000;10531961;35338;61842;26503;53007;176690;0;0;0;0;0;0;0;0;0;0;115066;115066;0;0;5000;0;0;0;0;0;11000;0;0;666938;10839717;11506655;03478;04379;0021;00989;00097;09153;00031;00054;00023;00046;00154;0;0;0;0;0;0;0;0;0;0;001;001;0;0;00004;0;0;0;0;0;0001;0;0;0058;0942;1;0;24;5;10;2;15;11
16;1950;20;41;CAN;124;Canada;4098000;6181650;200560;1300614;444655;12225479;35991;62984;26993;53986;179954;0;0;0;0;0;0;2006;2006;0;0;112006;112006;0;2006;10001;0;1000;0;0;0;14973;50003;128304;1011268;12725732;13737000;02983;045;00146;00947;00324;089;00026;00046;0002;00039;00131;0;0;0;0;0;0;00001;00001;0;0;00082;00082;0;00001;00007;0;00001;0;0;0;00011;00036;00093;00736;09264;1;0;2;4;7;2;7;11
